,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
3,2022-06-21T11:59:47.271Z,18.4742,-73.8915,10.0,4.1,mb,,71.0,1.722,0.22,us,us7000hize,2022-06-21T12:48:28.040Z,"10 km S of Corail, Haiti",earthquake,2.9,1.9,0.123,18.0,reviewed,us,us
4,2022-06-21T11:23:02.244Z,26.7012,126.4462,10.0,4.6,mb,,40.0,1.638,0.62,us,us7000hizc,2022-06-21T11:56:09.040Z,"134 km WNW of Naha, Japan",earthquake,6.6,1.9,0.07,61.0,reviewed,us,us
18,2022-06-21T08:59:12.375Z,61.815,-150.7149,39.1,2.5,ml,,,,0.48,ak,ak0227wljtz8,2022-06-21T09:35:12.582Z,"32 km NNW of Susitna, Alaska",earthquake,,1.9,,,automatic,ak,ak
20,2022-06-21T08:29:22.412Z,-15.4051,-172.8992,40.11,4.7,mb,,88.0,1.838,0.92,us,us7000hiyl,2022-06-21T08:47:28.040Z,"113 km ENE of Hihifo, Tonga",earthquake,6.9,8.4,0.054,103.0,reviewed,us,us
24,2022-06-21T08:09:59.613Z,-28.0553,-69.2943,10.0,4.9,mb,,42.0,0.951,1.71,us,us7000hiyh,2022-06-21T08:40:47.040Z,"127 km SE of Copiapó, Chile",earthquake,3.7,1.0,0.039,266.0,reviewed,us,us
29,2022-06-21T07:50:08.530Z,18.6433333333333,-66.708,65.51,2.85,md,17.0,225.0,,0.26,pr,pr71355268,2022-06-21T08:31:38.720Z,"18 km N of Arecibo, Puerto Rico",earthquake,1.28,1.32,0.0916793311449968,7.0,reviewed,pr,pr
34,2022-06-21T07:33:55.255Z,-16.2817,-74.206,27.71,4.8,mb,,147.0,4.235,1.03,us,us7000hixu,2022-06-21T07:55:04.040Z,"56 km SSE of Atiquipa, Peru",earthquake,9.1,5.9,0.05,124.0,reviewed,us,us
38,2022-06-21T07:14:53.930Z,27.9425,142.814,10.0,5.9,mww,,55.0,5.768,1.32,us,us7000hixl,2022-06-21T09:20:25.302Z,"Bonin Islands, Japan region",earthquake,8.2,1.8,0.071,19.0,reviewed,us,us
50,2022-06-21T05:37:57.826Z,-22.1413,-179.5006,590.64,4.4,mb,,67.0,4.942,0.83,us,us7000hix5,2022-06-21T06:03:08.040Z,south of the Fiji Islands,earthquake,12.7,7.6,0.061,77.0,reviewed,us,us
54,2022-06-21T04:52:31.540Z,19.1885,-66.4356666666667,24.81,3.15,md,13.0,293.0,,0.27,pr,pr71355238,2022-06-21T05:07:43.710Z,"80 km N of Brenas, Puerto Rico",earthquake,1.22,17.48,0.0949296515923232,7.0,reviewed,pr,pr
58,2022-06-21T04:10:42.445Z,-58.7537,-25.2408,10.0,5.0,mb,,45.0,15.84,0.75,us,us7000hiwq,2022-06-21T05:20:39.040Z,South Sandwich Islands region,earthquake,12.4,1.8,0.072,61.0,reviewed,us,us
65,2022-06-21T03:23:52.054Z,-16.1858,-172.8751,10.0,4.6,mb,,127.0,2.498,0.77,us,us7000hiwh,2022-06-21T05:02:12.040Z,Samoa Islands region,earthquake,9.5,1.9,0.049,122.0,reviewed,us,us
67,2022-06-21T03:19:32.448Z,45.8905,154.343,10.0,4.6,mb,,126.0,7.546,0.68,us,us7000hiwd,2022-06-21T03:55:54.040Z,east of the Kuril Islands,earthquake,10.2,1.9,0.085,41.0,reviewed,us,us
71,2022-06-21T02:55:04.345Z,31.6935961,-104.5598367,7.854003906,2.9,ml,20.0,92.0,0.05623125288,0.6,tx,tx2022maqv,2022-06-21T05:22:51.495Z,"56 km SSW of Whites City, New Mexico",earthquake,4.115394691,2.241716944,0.2,17.0,reviewed,tx,tx
79,2022-06-21T01:54:13.287Z,1.9612,126.9273,40.7,4.7,mb,,130.0,1.26,0.67,us,us7000hivx,2022-06-21T03:22:00.040Z,"123 km WNW of Tobelo, Indonesia",earthquake,6.5,7.7,0.089,38.0,reviewed,us,us
82,2022-06-21T01:42:50.721Z,37.5052,137.2179,10.0,4.3,mb,,97.0,1.241,0.64,us,us7000hivv,2022-06-21T03:15:49.040Z,"near the west coast of Honshu, Japan",earthquake,4.3,1.9,0.168,10.0,reviewed,us,us
